#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
hodltech.com,suspend,false,false,Soapbox detected on hodltech.com at 2023-08-12 by soapblock.sh,false
homelab.host,suspend,false,false,Soapbox detected on homelab.host at 2023-08-12 by soapblock.sh,false
hornyjail.pro,suspend,false,false,Soapbox detected on hornyjail.pro at 2023-08-05 by soapblock.sh,false
hvn.network,suspend,false,false,Soapbox detected on fed.hvn.network at 2023-08-11 by soapblock.sh,false
ichibi.eu,suspend,false,false,Soapbox detected on social.ichibi.eu at 2023-08-12 by soapblock.sh,false
iddqd.social,suspend,false,false,Soapbox detected on iddqd.social at 2023-08-05 by soapblock.sh,false
iero.org,suspend,false,false,Soapbox detected on rebel.iero.org at 2023-08-05 by soapblock.sh,false
impeccable.social,suspend,false,false,Soapbox detected on impeccable.social at 2023-08-05 by soapblock.sh,false
incipientjoy.com,suspend,false,false,Soapbox detected on incipientjoy.com at 2023-08-12 by soapblock.sh,false
incorrigible.moe,suspend,false,false,Soapbox detected on shitposting.on.incorrigible.moe at 2023-08-05 by soapblock.sh,false
indytelegraph.com,suspend,false,false,Soapbox detected on indytelegraph.com at 2023-08-05 by soapblock.sh,false
is4.site,suspend,false,false,Soapbox detected on pub.is4.site at 2023-08-12 by soapblock.sh,false
itm.osaka,suspend,false,false,Soapbox detected on social.itm.osaka at 2023-08-05 by soapblock.sh,false
j4nk.dev,suspend,false,false,Soapbox detected on j4nk.dev at 2023-08-05 by soapblock.sh,false
jacksonhomestead.me,suspend,false,false,Soapbox detected on jacksonhomestead.me at 2023-08-05 by soapblock.sh,false
jascha.wtf,suspend,false,false,Soapbox detected on soc.jascha.wtf at 2023-08-12 by soapblock.sh,false
jasonsanta.xyz,suspend,false,false,Soapbox detected on social.jasonsanta.xyz at 2023-08-05 by soapblock.sh,false
jawsh.xyz,suspend,false,false,Soapbox detected on social.jawsh.xyz at 2023-08-12 by soapblock.sh,false
jollyville.net,suspend,false,false,Soapbox detected on jollyville.net at 2023-08-05 by soapblock.sh,false
justbros.xyz,suspend,false,false,Soapbox detected on justbros.xyz at 2023-08-12 by soapblock.sh,false
jvpiter.net,suspend,false,false,Soapbox detected on jvpiter.net at 2023-08-12 by soapblock.sh,false
kaosteam.net,suspend,false,false,Soapbox detected on wave.kaosteam.net at 2023-08-12 by soapblock.sh,false
kawa-kun.com,suspend,false,false,Soapbox detected on sb.bbs.kawa-kun.com at 2023-08-05 by soapblock.sh,false
kazv.moe,suspend,false,false,Soapbox detected on wa.kazv.moe at 2023-08-05 by soapblock.sh,false
khajiit.tech,suspend,false,false,Soapbox detected on khajiit.tech at 2023-08-05 by soapblock.sh,false
killrobot.com,suspend,false,false,Soapbox detected on pub.killrobot.com at 2023-08-05 by soapblock.sh,false
killyour.dad,suspend,false,false,Soapbox detected on killyour.dad at 2023-08-13 by soapblock.sh,false
kitsunemimi.club,suspend,false,false,Soapbox detected on pleroma.kitsunemimi.club at 2023-08-05 by soapblock.sh,false
klickaa.com,suspend,false,false,Soapbox detected on klickaa.com at 2023-08-13 by soapblock.sh,false
kurosawa.moe,suspend,false,false,Soapbox detected on kurosawa.moe at 2023-08-05 by soapblock.sh,false
kwaa.moe,suspend,false,false,Soapbox detected on kwaa.moe at 2023-08-12 by soapblock.sh,false
kwot.in,suspend,false,false,Soapbox detected on kwot.in at 2023-08-05 by soapblock.sh,false
labmonkeys.space,suspend,false,false,Soapbox detected on social.labmonkeys.space at 2023-08-12 by soapblock.sh,false
lacaveatonton.ovh,suspend,false,false,Soapbox detected on social.lacaveatonton.ovh at 2023-08-05 by soapblock.sh,false
langsec.social,suspend,false,false,Soapbox detected on langsec.social at 2023-08-12 by soapblock.sh,false
lasanha.org,suspend,false,false,Soapbox detected on social.lasanha.org at 2023-08-12 by soapblock.sh,false
leadslinger.org,suspend,false,false,Soapbox detected on leadslinger.org at 2023-08-12 by soapblock.sh,false
leafposter.club,suspend,false,false,Soapbox detected on leafposter.club at 2023-08-05 by soapblock.sh,false
librosphere.fr,suspend,false,false,Soapbox detected on soap.librosphere.fr at 2023-08-05 by soapblock.sh,false
llamarific.social,suspend,false,false,Soapbox detected on chatter.llamarific.social at 2023-08-05 by soapblock.sh,false
loveforlandlords.com,suspend,false,false,Soapbox detected on loveforlandlords.com at 2023-08-05 by soapblock.sh,false
luizpicolo.com.br,suspend,false,false,Soapbox detected on social.luizpicolo.com.br at 2023-08-05 by soapblock.sh,false
lukepreston.xyz,suspend,false,false,Soapbox detected on social.lukepreston.xyz at 2023-08-12 by soapblock.sh,false
makemake.site,suspend,false,false,Soapbox detected on pleroma.makemake.site at 2023-08-05 by soapblock.sh,false
maladaptive.art,suspend,false,false,Soapbox detected on ap.maladaptive.art at 2023-08-05 by soapblock.sh,false
maneisacutie.club,suspend,false,false,Soapbox detected on fedi.maneisacutie.club at 2023-08-11 by soapblock.sh,false
marsey.moe,suspend,false,false,Soapbox detected on marsey.moe at 2023-08-05 by soapblock.sh,false
mastodon.tech,suspend,false,false,Soapbox detected on mastodon.tech at 2023-08-12 by soapblock.sh,false
mattrnet.org,suspend,false,false,Soapbox detected on social.mattrnet.org at 2023-08-12 by soapblock.sh,false
meneeraart.nl,suspend,false,false,Soapbox detected on pleroma.meneeraart.nl at 2023-08-12 by soapblock.sh,false
microblog.club,suspend,false,false,Soapbox detected on microblog.club at 2023-08-05 by soapblock.sh,false
midwaytrades.com,suspend,false,false,Soapbox detected on soapbox.midwaytrades.com at 2023-08-05 by soapblock.sh,false
milker.cafe,suspend,false,false,Soapbox detected on milker.cafe at 2023-08-05 by soapblock.sh,false
milkers.online,suspend,false,false,Soapbox detected on milkers.online at 2023-08-05 by soapblock.sh,false
minaduki.dev,suspend,false,false,Soapbox detected on soapbox.minaduki.dev at 2023-08-05 by soapblock.sh,false
minecloud.ro,suspend,false,false,Soapbox detected on pleroma.minecloud.ro at 2023-08-05 by soapblock.sh,false
mnh48.moe,suspend,false,false,Soapbox detected on social.mnh48.moe at 2023-08-12 by soapblock.sh,false
moonlight-party.net,suspend,false,false,Soapbox detected on moonlight-party.net at 2023-08-12 by soapblock.sh,false
moron.city,suspend,false,false,Soapbox detected on moron.city at 2023-08-12 by soapblock.sh,false
mostr.pub,suspend,false,false,Soapbox detected on mostr.pub at 2023-08-05 by soapblock.sh,false
mountaincommunity.co,suspend,false,false,Soapbox detected on mountaincommunity.co at 2023-08-05 by soapblock.sh,false
mugicha.club,suspend,false,false,Soapbox detected on mugicha.club at 2023-08-05 by soapblock.sh,false
murderhobos.party,suspend,false,false,Soapbox detected on toot.murderhobos.party at 2023-08-12 by soapblock.sh,false
neenster.org,suspend,false,false,Soapbox detected on neenster.org at 2023-08-05 by soapblock.sh,false
neevt.com,suspend,false,false,Soapbox detected on neevt.com at 2023-08-15 by soapblock.sh,false
neighborli.xyz,suspend,false,false,Soapbox detected on neighborli.xyz at 2023-08-12 by soapblock.sh,false
neondemons.net,suspend,false,false,Soapbox detected on neondemons.net at 2023-08-05 by soapblock.sh,false
nextworldherbalism.party,suspend,false,false,Soapbox detected on nextworldherbalism.party at 2023-08-05 by soapblock.sh,false
nicecrew.digital,suspend,false,false,Soapbox detected on nicecrew.digital at 2023-08-05 by soapblock.sh,false
nightshift.social,suspend,false,false,Soapbox detected on nightshift.social at 2023-08-05 by soapblock.sh,false
noagendasocial.com,suspend,false,false,Soapbox detected on fe.noagendasocial.com at 2023-08-05 by soapblock.sh,false
nodemixaholic.com,suspend,false,false,Soapbox detected on nodemixaholic.com at 2023-08-05 by soapblock.sh,false
noexce.pt,suspend,false,false,Soapbox detected on noexce.pt at 2023-08-12 by soapblock.sh,false
occulti.ca,suspend,false,false,Soapbox detected on social.occulti.ca at 2023-08-12 by soapblock.sh,false
olender.me,suspend,false,false,Soapbox detected on olender.me at 2023-08-12 by soapblock.sh,false
openmtx.com,suspend,false,false,Soapbox detected on fedi.openmtx.com at 2023-08-15 by soapblock.sh,false
orwell.fun,suspend,false,false,Soapbox detected on orwell.fun at 2023-08-05 by soapblock.sh,false
otakufarms.com,suspend,false,false,Soapbox detected on otakufarms.com at 2023-08-12 by soapblock.sh,false
oti.st,suspend,false,false,Soapbox detected on zov.oti.st at 2023-08-05 by soapblock.sh,false
pajcevina.net,suspend,false,false,Soapbox detected on pajcevina.net at 2023-08-05 by soapblock.sh,false
pal.icu,suspend,false,false,Soapbox detected on dev.pal.icu at 2023-08-11 by soapblock.sh,false
pals.chat,suspend,false,false,Soapbox detected on pals.chat at 2023-08-12 by soapblock.sh,false
paradigm-x.tokyo,suspend,false,false,Soapbox detected on amami.paradigm-x.tokyo at 2023-08-05 by soapblock.sh,false
pastwind.top,suspend,false,false,Soapbox detected on light.pastwind.top at 2023-08-13 by soapblock.sh,false
pawlicker.com,suspend,false,false,Soapbox detected on fedi.pawlicker.com at 2023-08-05 by soapblock.sh,false
pcwizards.nl,suspend,false,false,Soapbox detected on fedi.pcwizards.nl at 2023-08-05 by soapblock.sh,false
penner.party,suspend,false,false,Soapbox detected on social.penner.party at 2023-08-12 by soapblock.sh,false
petrolkorps.cc,suspend,false,false,Soapbox detected on petrolkorps.cc at 2023-08-05 by soapblock.sh,false
pfiffimus.de,suspend,false,false,Soapbox detected on pfiffimus.de at 2023-08-12 by soapblock.sh,false
pheme.au,suspend,false,false,Soapbox detected on pheme.au at 2023-08-12 by soapblock.sh,false
piazza.today,suspend,false,false,Soapbox detected on piazza.today at 2023-08-05 by soapblock.sh,false
pkteerium.xyz,suspend,false,false,Soapbox detected on pkteerium.xyz at 2023-08-12 by soapblock.sh,false
pleroma.in.th,suspend,false,false,Soapbox detected on pleroma.in.th at 2023-08-05 by soapblock.sh,false
pleromer.net,suspend,false,false,Soapbox detected on pleromer.net at 2023-08-05 by soapblock.sh,false
poa.st,suspend,false,false,Soapbox detected on poa.st at 2023-08-05 by soapblock.sh,false
poast.org,suspend,false,false,Soapbox detected on poast.org at 2023-08-05 by soapblock.sh,false
podcastalot.com,suspend,false,false,Soapbox detected on plrm.podcastalot.com at 2023-08-12 by soapblock.sh,false
podkos.xyz,suspend,false,false,Soapbox detected on podkos.xyz at 2023-08-12 by soapblock.sh,false
postblue.social,suspend,false,false,Soapbox detected on postblue.social at 2023-08-05 by soapblock.sh,false
postnstuffds.lol,suspend,false,false,Soapbox detected on postnstuffds.lol at 2023-08-05 by soapblock.sh,false
prado.it,suspend,false,false,Soapbox detected on social.prado.it at 2023-08-05 by soapblock.sh,false
prodottoinrete.com,suspend,false,false,Soapbox detected on social.prodottoinrete.com at 2023-08-05 by soapblock.sh,false
protectors.moe,suspend,false,false,Soapbox detected on social.protectors.moe at 2023-08-05 by soapblock.sh,false
pythia.cloud,suspend,false,false,Soapbox detected on hub.pythia.cloud at 2023-08-05 by soapblock.sh,false
quickapps.com.mx,suspend,false,false,Soapbox detected on mobile.quickapps.com.mx at 2023-08-05 by soapblock.sh,false
r18.social,suspend,false,false,Soapbox detected on r18.social at 2023-08-05 by soapblock.sh,false
rabbithou.se,suspend,false,false,Soapbox detected on rabbithou.se at 2023-08-05 by soapblock.sh,false
rally.guide,suspend,false,false,Soapbox detected on rally.guide at 2023-08-05 by soapblock.sh,false
rayci.st,suspend,false,false,Soapbox detected on rayci.st at 2023-08-12 by soapblock.sh,false
rbq.social,suspend,false,false,Soapbox detected on pleroma.rbq.social at 2023-08-12 by soapblock.sh,false
rebased.io,suspend,false,false,Soapbox detected on rebased.io at 2023-08-05 by soapblock.sh,false
rebased.network,suspend,false,false,Soapbox detected on social.rebased.network at 2023-08-05 by soapblock.sh,false
rebased.social,suspend,false,false,Soapbox detected on rebased.social at 2023-08-05 by soapblock.sh,false
rebelbase.site,suspend,false,false,Soapbox detected on rebelbase.site at 2023-08-12 by soapblock.sh,false
redplanetlabs.com,suspend,false,false,Soapbox detected on mastodon.redplanetlabs.com at 2023-08-15 by soapblock.sh,false
redsnake.io,suspend,false,false,Soapbox detected on redsnake.io at 2023-08-05 by soapblock.sh,false
replicant.pl,suspend,false,false,Soapbox detected on replicant.pl at 2023-08-05 by soapblock.sh,false
retroedge.tech,suspend,false,false,Soapbox detected on social.retroedge.tech at 2023-08-05 by soapblock.sh,false
returtle.com,suspend,false,false,Soapbox detected on returtle.com at 2023-08-05 by soapblock.sh,false
roysbeer.place,suspend,false,false,Soapbox detected on roysbeer.place at 2023-08-05 by soapblock.sh,false
rucksfuchs.de,suspend,false,false,Soapbox detected on social.rucksfuchs.de at 2023-08-05 by soapblock.sh,false
ruinouspowe.rs,suspend,false,false,Soapbox detected on fedi.ruinouspowe.rs at 2023-08-11 by soapblock.sh,false
ruoiu.app,suspend,false,false,Soapbox detected on social.ruoiu.app at 2023-08-12 by soapblock.sh,false
saghul.net,suspend,false,false,Soapbox detected on social.saghul.net at 2023-08-05 by soapblock.sh,false
salastil.com,suspend,false,false,Soapbox detected on pleroma.salastil.com at 2023-08-05 by soapblock.sh,false
samicrusader.me,suspend,false,false,Soapbox detected on soapbox.samicrusader.me at 2023-08-05 by soapblock.sh,false
samizdatpixelpress.net,suspend,false,false,Soapbox detected on social.samizdatpixelpress.net at 2023-08-05 by soapblock.sh,false
sanfranciscan.org,suspend,false,false,Soapbox detected on social.sanfranciscan.org at 2023-08-15 by soapblock.sh,false
sankara.me,suspend,false,false,Soapbox detected on social.sankara.me at 2023-08-12 by soapblock.sh,false
saramara.ai,suspend,false,false,Soapbox detected on easy.saramara.ai at 2023-08-11 by soapblock.sh,false
saturno.com.ve,suspend,false,false,Soapbox detected on saturno.com.ve at 2023-08-12 by soapblock.sh,false
scamdemic.party,suspend,false,false,Soapbox detected on cyber.scamdemic.party at 2023-08-05 by soapblock.sh,false
